봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,고온기 빛가림,,작업,,고온기 빛가림,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,고온기 빛가림,,작업메모,,"물주기는 스프링클러·분수호스·점적관수 중 적당한 방법으로 하고, 웃거름은 10일 간격으로 주세요. 병해충은 예방 위주로 방제해주세요. 고온기에는 30% 빛가림을 해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,웃거름 주기,,,,,가이드,비료주기,"밑거름은 전체 시비량의 50%(퇴비·석회·인산은 100%)를 넣고, 웃거름은 10일 간격으로 나눠 주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,휴경기에 담수를 하면 선충 밀도를 줄일 수 있어요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,돌려짓기와 유기물 시용으로 병해충 발생을 줄여주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,생육기,아주심기 후~수확 전,고온기 빛가림,,,,,가이드,빛가림,고온기에는 30% 빛가림을 해서 생육 장해를 줄여주세요.,-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,수확기,6월 중순~8월 중순,수확,,,,,작업,,수확,일회성,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,수확기,6월 중순~8월 중순,수확,,,,,작업메모,,"표준출하규격에 맞춰 수확·포장하고, 저장이 필요하면 0℃ 저온저장고를 이용하세요.",-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,수확기,6월 중순~8월 중순,수확,,,,,가이드,수확 후 관리,저온저장고(0℃)를 이용하면 신선도를 오래 유지할 수 있어요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
고랭지재배,고랭지대,수확기,6월 중순~8월 중순,수확,,,,,가이드,수확 후 관리,표준출하규격을 지켜서 수확물을 포장해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,씨뿌림 시,7월 21일~7월 24일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,모기르기 시,7월 25일~8월 10일,모기르기,,,,,작업,,모기르기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,씨뿌림·모기르기 시,7월 하순~8월 상순,씨뿌림,모기르기,,,,작업메모,,"씨앗은 10a당 0.4~0.6㎗, 파종상은 3.3㎡(플러그 200공 육묘 시 40㎡)로 준비하고, 128~200공 플러그트레이에서 본잎 3~4매가 될 때까지 모를 길러주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,씨뿌림·모기르기 시,7월 하순~8월 상순,씨뿌림,,,,,가이드,씨뿌림,"씨앗량은 10a당 0.4~0.6㎗, 파종상은 10a당 3.3㎡(200공 플러그 모 기르기 시 40㎡)로 준비해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,씨뿌림·모기르기 시,7월 하순~8월 상순,모기르기,,,,,가이드,모기르기,128공 또는 200공 플러그트레이에서 본잎이 3~4매가 될 때까지 모를 길러주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,아주심기 시,8월 중순~8월 하순,아주심기,,,,,작업,,아주심기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,아주심기 시,8월 중순~8월 하순,아주심기,,,,,작업메모,,"본엽 3~5매(플러그 묘) 시기에 이랑 너비 150~180cm, 포기 사이 20×20cm 내외 간격으로 10a당 약 20,000주를 심어주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,아주심기 시,8월 중순~8월 하순,아주심기,,,,,가이드,아주심기 시기·간격,아주심기는 본엽 3~5매(플러그 묘) 시기에 해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,아주심기 시,8월 중순~8월 하순,아주심기,,,,,가이드,아주심기 시기·간격,"이랑 너비 150~180cm, 포기 사이 20×20cm 내외 간격으로 심어주세요(10a당 약 20,000주 기준).",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,,,작업,,물주기,상시,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,,,작업,,웃거름 주기,주기성,10,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,,,작업,,병해충 방제,상시,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,물주기,웃거름 주기,병해충 방제,,,작업메모,,"물주기는 스프링클러·분수호스·점적관수 중 적당한 방법으로 하고, 웃거름은 10일 간격으로 주세요. 병해충은 예방 위주로 방제해주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,웃거름 주기,,,,,가이드,비료주기,"밑거름은 전체 시비량의 50%(퇴비·석회·인산은 100%)를 넣고, 웃거름은 10일 간격으로 나눠 주세요.",-,,general,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,휴경기에 담수를 하면 선충 밀도를 줄일 수 있어요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,돌려짓기와 유기물 시용으로 병해충 발생을 줄여주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,생육기,아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,수확기,9월 중순~11월 상순,수확,,,,,작업,,수확,일회성,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,수확기,9월 중순~11월 상순,수확,,,,,작업메모,,"표준출하규격에 맞춰 수확·포장하고, 저장이 필요하면 0℃ 저온저장고를 이용하세요.",-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,수확기,9월 중순~11월 상순,수확,,,,,가이드,수확 후 관리,저온저장고(0℃)를 이용하면 신선도를 오래 유지할 수 있어요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
가을재배,,수확기,9월 중순~11월 상순,수확,,,,,가이드,수확 후 관리,표준출하규격을 지켜서 수확물을 포장해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
겨울재배,,씨뿌림 시,10월 11일~10월 14일,씨뿌림,,,,,작업,,씨뿌림,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
겨울재배,,모기르기 시,10월 15일~10월 31일,모기르기,,,,,작업,,모기르기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
겨울재배,,씨뿌림·모기르기 시,10월 중순~10월 하순,씨뿌림,모기르기,,,,작업메모,,"씨앗은 10a당 0.4~0.6㎗, 파종상은 3.3㎡(플러그 200공 육묘 시 40㎡)로 준비하고, 128~200공 플러그트레이에서 본잎 3~4매가 될 때까지 모를 길러주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
