봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
봄재배,전국 평지,파종 시,2월 중순~3월 하순,,,,,,가이드,씨감자 준비,"품종에 따라 휴면기간이 2개월~5개월로 다르니, 심기 전에 그 품종의 휴면기간을 확인해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,파종,,,,,가이드,심는거리·파종깊이,한 줄로 심을 때는 70~80cm 간격(이랑 사이)에 20~25cm 간격(포기 사이)으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,파종,,,,,가이드,심는거리·파종깊이,두 줄로 심을 때는 90~140cm(이랑 사이) × 30~40cm(줄 사이) × 20~25cm(포기 사이) 간격으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,파종,,,,,가이드,심는거리·파종깊이,씨감자는 5~10cm 깊이로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,파종 시,2월 중순~3월 하순,멀칭,,,,,가이드,멀칭,봄재배·겨울재배라면 투명 비닐(PE 필름)로 멀칭해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,생육 초중반~전반,4월 1일~5월 20일,제초,배토(북주기),병해충 방제,배수 관리,,작업,,제초,주기성,7,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,생육 초중반~전반,4월 1일~5월 20일,제초,배토(북주기),병해충 방제,배수 관리,,작업,,배토(북주기),주기성,17,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,생육 초중반~전반,4월 1일~5월 20일,제초,배토(북주기),병해충 방제,배수 관리,,작업,,병해충 방제,주기성,8,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,생육 초중반~전반,4월 1일~5월 20일,제초,배토(북주기),병해충 방제,배수 관리,,작업,,배수 관리,주기성,4,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,생육 초중반~전반,4월 1일~5월 20일,제초,배토(북주기),병해충 방제,배수 관리,,작업메모,,"제초는 7~10일 간격, 병해충 방제는 예방 위주 7~10일 간격, 배수 관리는 3~5일 간격(비 온 직후엔 즉시)으로 점검하고, 배토(북주기)는 생육기간 중 2~3회 15~20일 간격으로 흙을 북돋아 덩이줄기가 햇빛에 드러나지 않게 해주세요.",-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확기,5월 하순~6월 하순,수확,,,,,작업,,수확,일회성,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확기,5월 하순~6월 하순,수확,,,,,작업메모,,잎과 줄기가 노랗게 변하면(황엽기~고엽기) 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확기,5월 하순~6월 하순,,,,,,가이드,수확과 저장,"수확 후에는 12~18℃·습도 80~85% 환경에서, 빛이 들지 않고 통풍이 잘되는 서늘한 곳에 얇게 펴서 10~14일간 예비저장해주세요.",-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확기,5월 하순~6월 하순,,,,,,가이드,수확과 저장,본 저장 시 3~4℃·습도 80~85%(가공용은 8~10℃)를 유지해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확기,5월 하순~6월 하순,,,,,,가이드,수확과 저장,장기간 저장할 때는 4℃를 유지하면서 주기적으로 환기해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,예비저장,,,,,작업,,예비저장,일회성,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,예비저장,,,,,작업메모,,"12~18℃·습도 80~85%를 유지하면서, 빛이 들지 않고 통풍이 잘되는 서늘한 곳에 얇게 펴서 10~14일간 말려주세요.",-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,,,,,,가이드,수확과 저장,잎과 줄기가 노랗게 변하면(황엽기~고엽기) 수확해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,예비저장,,,,,가이드,수확과 저장,"수확 후에는 12~18℃·습도 80~85% 환경에서, 빛이 들지 않고 통풍이 잘되는 서늘한 곳에 얇게 펴서 10~14일간 예비저장해주세요.",-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,,,,,,가이드,수확과 저장,본 저장 시 3~4℃·습도 80~85%(가공용은 8~10℃)를 유지해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,수확 후 10~14일,7월 1일~7월 14일,,,,,,가이드,수확과 저장,장기간 저장할 때는 4℃를 유지하면서 주기적으로 환기해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,본저장,,,,,작업,,본저장,주기성,3,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,본저장,,,,,작업메모,,"3~4℃·습도 80~85%(가공용은 8~10℃)를 유지하고, 3~4일 간격으로 환기하며 상태를 점검해주세요.",-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,,,,,,가이드,수확과 저장,잎과 줄기가 노랗게 변하면(황엽기~고엽기) 수확해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,,,,,,가이드,수확과 저장,"수확 후에는 12~18℃·습도 80~85% 환경에서, 빛이 들지 않고 통풍이 잘되는 서늘한 곳에 얇게 펴서 10~14일간 예비저장해주세요.",-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,본저장,,,,,가이드,수확과 저장,본 저장 시 3~4℃·습도 80~85%(가공용은 8~10℃)를 유지해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
봄재배,전국 평지,저장 중,7월 15일~8월 13일,본저장,,,,,가이드,수확과 저장,장기간 저장할 때는 4℃를 유지하면서 주기적으로 환기해주세요.,-,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월 1일~3월 6일,씨감자 절단,,,,,작업,,씨감자 절단,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월 7일~4월 10일,싹틔우기,,,,,작업,,싹틔우기,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,씨감자 절단,싹틔우기,,,,작업메모,,씨감자를 잘라 준비하고 싹을 틔워주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,씨감자 준비,"씨감자는 10a(약 300평)당 160kg을 준비하고, 30g보다 작거나 250g보다 큰 것은 골라내고 30~50g 크기만 써주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,씨감자 절단,,,,,가이드,씨감자 준비,"씨감자를 자를 땐 위에서 아래 방향으로 자르되, 아래쪽 1/5 정도는 자르지 말고 남겨주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,싹틔우기,,,,,가이드,씨감자 준비,자른 씨감자는 15~20℃·습도 80~90% 환경에서 25~35일간 햇빛을 살짝 쬐어가며 싹을 틔워주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,씨감자 준비,싹 틔운 씨감자를 심으면 20~30일쯤 뒤에 땅 위로 싹이 올라오니 그때까지 기다려주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,씨감자 준비,"품종에 따라 휴면기간이 2개월~5개월로 다르니, 심기 전에 그 품종의 휴면기간을 확인해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,심는거리·파종깊이,한 줄로 심을 때는 70~80cm 간격(이랑 사이)에 20~25cm 간격(포기 사이)으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,심는거리·파종깊이,두 줄로 심을 때는 90~140cm(이랑 사이) × 30~40cm(줄 사이) × 20~25cm(포기 사이) 간격으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,심는거리·파종깊이,씨감자는 5~10cm 깊이로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 전,3월~4월 초,,,,,,가이드,멀칭,여름재배·가을재배라면 검은색 비닐(PE 필름)로 멀칭해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 11일~4월 23일,밭 준비,,,,,작업,,밭 준비,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 24일~5월 6일,멀칭,,,,,작업,,멀칭,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,5월 7일~5월 20일,파종,,,,,작업,,파종,일회성,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,밭 준비,멀칭,파종,,,작업메모,,이랑을 준비하고 검은색 비닐로 멀칭한 뒤 파종해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,,,,,,가이드,씨감자 준비,"씨감자는 10a(약 300평)당 160kg을 준비하고, 30g보다 작거나 250g보다 큰 것은 골라내고 30~50g 크기만 써주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,,,,,,가이드,씨감자 준비,"씨감자를 자를 땐 위에서 아래 방향으로 자르되, 아래쪽 1/5 정도는 자르지 말고 남겨주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,,,,,,가이드,씨감자 준비,자른 씨감자는 15~20℃·습도 80~90% 환경에서 25~35일간 햇빛을 살짝 쬐어가며 싹을 틔워주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,,,,,,가이드,씨감자 준비,싹 틔운 씨감자를 심으면 20~30일쯤 뒤에 땅 위로 싹이 올라오니 그때까지 기다려주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,,,,,,가이드,씨감자 준비,"품종에 따라 휴면기간이 2개월~5개월로 다르니, 심기 전에 그 품종의 휴면기간을 확인해주세요.",-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,파종,,,,,가이드,심는거리·파종깊이,한 줄로 심을 때는 70~80cm 간격(이랑 사이)에 20~25cm 간격(포기 사이)으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,파종,,,,,가이드,심는거리·파종깊이,두 줄로 심을 때는 90~140cm(이랑 사이) × 30~40cm(줄 사이) × 20~25cm(포기 사이) 간격으로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,파종,,,,,가이드,심는거리·파종깊이,씨감자는 5~10cm 깊이로 심어주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,파종 시,4월 중순~5월 중순,멀칭,,,,,가이드,멀칭,여름재배·가을재배라면 검은색 비닐(PE 필름)로 멀칭해주세요.,-,,planting,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업,,제초,주기성,7,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업,,배토(북주기),주기성,17,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업,,배수 관리,주기성,4,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업,,병해충 방제,주기성,8,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업,,건조제 살포,주기성,8,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,생육기,"5월 21일~8월 10일, 6~7월 장마 포함",제초,배토(북주기),배수 관리,병해충 방제,건조제 살포,작업메모,,"장마철(6~7월)에는 습해·역병이 빨리 퍼지니 배수 점검과 병해충 방제 간격을 평소(7일)보다 짧게 잡고, 습해 우려 시 7~10일 간격으로 건조제를 뿌려주세요. 제초·배토(북주기)는 평소대로 진행하면 돼요.",-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,수확,,,,,작업,,수확,일회성,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,수확,,,,,작업메모,,잎과 줄기 상태를 확인하고 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,수확,,,,,가이드,수확과 저장,잎과 줄기가 노랗게 변하면(황엽기~고엽기) 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,,,,,,가이드,수확과 저장,"수확 후에는 12~18℃·습도 80~85% 환경에서, 빛이 들지 않고 통풍이 잘되는 서늘한 곳에 얇게 펴서 10~14일간 예비저장해주세요.",-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,,,,,,가이드,수확과 저장,본 저장 시 3~4℃·습도 80~85%(가공용은 8~10℃)를 유지해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확기,8월 중순~9월 하순,,,,,,가이드,수확과 저장,장기간 저장할 때는 4℃를 유지하면서 주기적으로 환기해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
여름재배,고랭지대,수확 후 10~14일,10월 1일~10월 14일,예비저장,,,,,작업,,예비저장,일회성,,storage,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
