재배유형,날짜,요일,추천작업,작업설명,이시기_주의사항
봄재배,2026-03-03,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-04,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-05,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-06,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-07,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-08,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-09,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-10,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-11,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-12,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-13,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-14,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-15,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-16,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-17,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-18,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-19,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-20,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-21,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-22,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-23,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-24,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-25,수,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-26,목,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-27,금,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-28,토,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-29,일,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-30,월,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-03-31,화,밭 준비 & 파종,이랑을 만들고 깊이 5~10cm로 심어요. (1열 70~80×20~25cm / 2열 90~140×30~40×20~25cm),"늦서리 주의(1~2주 생육 지연·수량 감소 가능), 지역별 늦서리 시기 고려해 파종"
봄재배,2026-04-01,수,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-02,목,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-03,금,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-04,토,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-05,일,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-06,월,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-07,화,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-08,수,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-09,목,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-10,금,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-11,토,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-12,일,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-13,월,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-14,화,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-15,수,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-16,목,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-17,금,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-18,토,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-19,일,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-20,월,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-21,화,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-22,수,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-23,목,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-24,금,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-25,토,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-26,일,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-27,월,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-28,화,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-29,수,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-04-30,목,제초 & 북주기(배토),"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지).","가뭄 대비 물 관리, 늦서리 주의 지속(고랭지)"
봄재배,2026-05-01,금,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-02,토,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-03,일,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-04,월,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-05,화,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-06,수,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-07,목,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-08,금,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-09,토,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-10,일,제초 & 북주기(배토) · 물 관리 & 병해충 방제,"잡초 제거, 흙을 북돋아 덩이줄기 덮기(초록색 방지). / 덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.","가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
봄재배,2026-05-11,월,물 관리 & 병해충 방제,덩이줄기 비대기에 물이 가장 많이 필요. 물빠짐도 관리.,"가뭄·장마 대비, 덩이줄기 비대기 물 관리 특히 중요(부족 시 비대 불량) / 덩이줄기 비대기: 칼슘 부족 상태에서 급성장 시 중심공동(속 빈 증상) 발생 주의"
