서비스ID,서비스명,서비스분야,서비스목적요약,지원내용,선정기준,소관기관명,소관기관유형,부서명,사용자구분,신청기한,신청방법,접수기관,전화문의,상세조회URL,조회수,_매칭키워드
154300000016,농식품산업 해외진출 융자 지원,농림축산어업,해외농업 진출기업의 해외 진출자금(농산물 생산·유통에 필요한 영농비)등 융자 지원,"○ 해외농업 진출기업의 현지 조기정착 및 기반마련을 위해 농산물 생산에 필요한 영농비ㆍ농기계 구입비, 유통에 필요한 건조ㆍ저장ㆍ가공시설 설치비 등과 축산물 생산, 유통에 소요되는 시설의 설치, 운영자금 및 이에 따른 장비 및 시설물의 임차 비용 등 융자 
- (지원조건) 연 2.0%(단, 곡물사업의 경우 1.5%), 5년 거치 10년 상환
- (지원기준) 총 사업비의 50~70% 이내","○ 해외농업자원개발 해당국에서 투자승인을 받는 등 융자 결정 후 즉시 사업 추진이 가능한 자

○ 해외농업·산림자원 개발협력법 제33조(비상시 해외농업자원의 반입명령)에 의하여 비상 시, 개발한 자원의 일부 또는 전부에 대한 정부의 반입명령 수용이 가능한 자

○ 다음의 경우에는 원칙적으로 지원 대상에서 제외 
 - 식량 순수입 빈곤국(식량 원조 수혜 등), 정치적 불안정 등으로 투자‧국외여행 등에 우려가 있는 국가 진출하는 경우 

○ 우선지원 요건
 - 밀, 옥수수, 콩 등 식량‧사료작물로서 국내 농산물과 경합되지 않는 작물 개발자 우선 지원
 - 수급조절, 가격안정 등 공공의 목적을 위해 국가기관(정부사업 대행기관 포함)이 행하는 사업 우선 지원따라 해외농업자원개발 사업계획을 신고한 자",농림축산식품부,중앙행정기관,국제협력총괄과,법인/시설/단체,연중 공고기한 내 신청가능,기타 온라인신청||방문신청,한국농어촌공사,한국농어촌공사/061-338-6473,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000016,1771,"농업,영농"
154300000020,특용작물시설 현대화 지원,농림축산어업,특용작물 재배시설 개.보수 지원 및 생산 기기 등 현대화 지원,"○ 특용작물(버섯, 녹차, 약용 등)을 신성장 동력 산업으로 육성하기 위한 재배시설 개.보수 지원 및 생산 기기 등 현대화 지원","○ 특용작물(버섯, 녹차, 약용작물 등) 재배 농업인.농업법인.생산자단체

○ 녹차.약용작물 유통.가공시설(저온저장고) 지원은 농가와 계약재배 또는 직접 경작하는 농업법인 및 생산자단체에 한함",농림축산식품부,중앙행정기관,원예산업과,개인||법인/시설/단체,매년 2월까지,방문신청,시·군·구청,해당지역 시군구청/해당지역 시군구청,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000020,4114,"농업,농가"
154300000022,농업 경영·기술 심층컨설팅,농림축산어업,농업경영체를 대상으로 대규모 영농투자 전 전문분야 컨설팅를 통해 농업투자 실패 예방,"○ 농업경영체를 대상으로 대규모 영농투자 전 전문분야 컨설팅를 통해 농업투자 실패 예방 및 적정 투자 유도
○ 영농 분야별(기술, 경영)로 심층컨설팅을 통해 창업투자 타당성 분석 및 투자 제언, 전문가 방문상담 지원(국비 70%, 자부담 30%)","가. 개별경영체 
▪ 농업인(후계농, 귀농인, 청창농 등 포함)
 * 농업경영체 등록 필수(단, 청년농 영농정착지원사업 선정자 중 독립경영 예정자는 농업경영체 등록 제외)

나. 법인경영체
○ (공통조건) 
▪ 설립 후 운영실적 1년 이상
▪ 총 출자금이 5천만원 이상
▪ 자본금이 자부담금 이상으로 확보되었고, 자기자본이 자부담금의 50% 이상 확보(단, 자기자본이 자부담금 이상이면 자본금은 자부담금의 50% 이상 확보해도 가능)
 * 법인경영체의 경우 농림축산식품분야 재정사업관리 기본규정 제35조 제9항 관련[별표6] 충족 필수 
 * 농업경영체 등록 필수
○ (개별조건) 농업법인(영농조합법인, 농업회사법인) 설립조건 준수",농림축산식품부,중앙행정기관,청년농육성정책팀,개인||법인/시설/단체,연도별 공모 시기 상이(일반적으로 전년 말),방문신청,,농림수산식품교육문화정보원/044-861-8524,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000022,3898,"귀농,농업,영농"
154300000028,농산물 우수관리(GAP) 시설 보완 지원,농림축산어업,요건에 부합되는 우수관리 위생시설에게 농산물우수관리시설 보완 지원,○ 농산물의 수확 후 위생·안전 관리를 위한 농산물우수관리시설 보완 지원,"○ 자격 및 요건: 「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 농업경영정보를 등록한 농업인‧농업법인 등
 - 농업인: 「농어업·농어촌 및 식품산업 기본법」제3조제2호
 - 농업법인: 「농어업경영체 육성 및 지원에 관한 법률」제2조제2호
 ○ 생산자단체: 「농어업·농어촌 및 식품산업 기본법」제3조제4호",농림축산식품부,중앙행정기관,농축산위생품질팀,법인/시설/단체,지자체 공고 기간내,방문신청,시·군·구청,농림축산식품부 농축산위생품질팀/044-201-2974,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000028,1746,농업
154300000038,"농촌관광기반사업지원(농업종합자금 융자,  관광농원 및 농어촌민박사업 해당)",문화·환경,현 거주 주택을 농어촌 민박 용도로 이용토록 증축·개축 비용을 융자,"○ 농업인 또는 농업법인에 대하여 관광농원 시설 의설치, 개·보수, 사업 운영자금을 지원 

○ 농어촌민박사업을 운영하고자 하는 농업인을 대상으로 현 거주 주택을 농어촌민박에 맞게 변경하기 위한 주택 증·개축 비용 지원","○ 관광농원 : 시장·군수로부터 관광농원 사업 계획 승인서를 발급받은 농업인 또는 농업법인

○ 농어촌민박 사업자 : 시장·군수로부터 농어촌민박사업자 신고 필증을 발급받은 농업인",농림축산식품부,중앙행정기관,농촌경제과,개인||법인/시설/단체,NH농협은행 서비스담당자 확인필요,방문신청,NH농협은행,NH농협은행 농업금융부/02-2080-7582,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000038,5980,"농업,농촌"
154300000046,공동방제단 운영 소독 지원,행정·안전,소규모 농가 및 취약지역에 대해 농협 공동방제단을 동원하여 소독 지원,"○ 소규모 농가 및 취약지역에 대해 농협 공동방제단을 동원하여 소독 지원
  - 소규모 농가(54천호)
  - 가금거래 전통시장(328개소)
  - 밀집사육지역 주변(63개소)
  - 해외여행 중점관리 축산관계자 농장(2,000개소)",○ 지자체 가축사육 행정통계 및 국가동물방역통합시스템(KAHIS)의 사육 통계 기준,농림축산식품부,중앙행정기관,구제역방역과,개인,접수기관 별 상이,신청불필요,- 농림축산식품부- 각 지자체,해당지역 시군구청/해당지역 농(축)협,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000046,1802,농가
154300000052,농촌맞춤형봉사활동지원(농촌 재능나눔) 공모사업,농림축산어업,봉사단체 대상으로 농촌지역 봉사활동에 대한 부대 경비 지원,○ 농촌지역 맞춤형봉사활동(농촌재능나눔)을 지원하기 위해 인건비를 제외한 재료비등 부대 경비를 지원하는 사업,○ 공모를 통해 봉사활동단체의 사업계획 적절성 평가를 통해 선정,농림축산식품부,중앙행정기관,농촌사회서비스과,법인/시설/단체,매년 5월31일,기타 온라인신청||방문신청,농어촌공사,농어촌공사/031-8084-9563||농어촌공사/031-8084-9565,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000052,1943,농촌
154300000055,농촌아이돌봄지원,보육·교육,농촌 특성을 반영한 보육지원 (개소당 152백만원),"○ 농촌공동아이돌봄센터
 - 시설비: 개소당 최대 152백만원 지원
  · 보육교사 숙박시설 신축비, 어린이집 개보수비, 차량구입비 등
 - 운영비: 개소당 최대 1,370만원 지원
  · 보육교직원 자기개발비, 프로그램 개발비, 냉난방비 등

○ 이동식 놀이교실
 - 운영비: 개소당 최대 152백만원 지원
  · 인건비, 프로그램 개발·운영비, 장비 및 기자재 구입비, 차량 임차료, 홍보비 및 기타 운영비",○ 매년 신청을 받아 지원 필요성(지역 내 다른 보육시설 존재여부 등)을 중심으로 심사하여 예산범위 내에서 지원대상 선정,농림축산식품부,중앙행정기관,농촌여성정책과,법인/시설/단체,매년 9~10월 시 도를 통해 공모,방문신청,주민센터,농림축산식품부/044-201-1797,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000055,2105,농촌
154300000056,농번기돌봄지원,보육·교육,아이돌봄방 운영을 하려는 법인·단체에게 시설비 및 운영비 지원,"○ (시설비) 개소당 최대 20백만원 지원(국비 50%, 지방비 50%)
   -화장실·조리시설 등 기존 시설 개보수 및 장비·기자재 구입에 활용 가능
○ (운영비) 운영기간에 따라 시설당 30백만원 내외 지원(국비 50%, 지방비 50%)
   -인건비, 교재․교구비, 급식·간식비, 기타 시설운영비 등으로 활용 가능",○ 매년 신청을 받아 현장점검을 통해 신청자의 운영능력 및 지원필요성 등을 심사하여 예산번위 내에서 지원대상 결정,농림축산식품부,중앙행정기관,농촌여성정책과,법인/시설/단체,상시신청,방문신청,,농어촌희망재단/02-509-2445,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000056,2435,농촌
154300000058,농촌형 교통모델 지원,농림축산어업,교통서비스 제공이 가능한 자에게 교통사업 추진에 필요한 비용 지원,"○ 대중교통 미운행 지역 등 교통여건이 취약한 농촌 지역을 위한 대체 교통사업 추진에 필요한 비용 전반
 - 교통서비스 운영비 : 차량 유지·보수비, 운행손실 보상비, 택시요금 차액 보조비, 보험료, 유류비, 콜센터 운영비, 홍보비 등
 - 인건비 : 운수사업 종사자 인건비","○ 군 운수사업체, 비영리법인 등 농촌 지역에 교통서비스 제공이 가능한 자",농림축산식품부,중앙행정기관,농촌공간계획과,법인/시설/단체,접수기관 별 상이,방문신청,시·군·구청,농림축산식품부 농촌정책과/044-201-1521,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000058,2144,농촌
154300000059,우수 후계농업경영인 추가 지원,농림축산어업,"후계농으로 선정된 후 5년 이상 영농에 종사중인 농가에 농지 구입, 시설 설치 융자 지원","○ 경종 및 축산 분야에서 농지 구입, 시설 설치 등 영농규모 확대 등을 위한 자금 융자지원",지원대상과 동일,농림축산식품부,중앙행정기관,청년농육성정책팀,개인,자세한 날짜는 시군구청에 따라 다를 수 있음,방문신청,시·군·구청,농림축산식품부 청년농육성정책팀/044-201-1597,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/154300000059,4729,"농업,영농,농가,농지"
